Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Date End Field has a calender beside it.,RET-107,10204,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0018n:,,RET Sprint 2,,,,,,,,Done
Verify that Date End Field with invalid date format.,RET-106,10203,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0018f:,,RET Sprint 2,,,,,,,,Done
Verify the Date End Field's Type.,RET-105,10202,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:36 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i00187:,,RET Sprint 2,,,,,,,,Done
Verify the Date Start Field has a calender beside it.,RET-104,10201,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:36 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date Start"".
5. It's value should be before ""Date End"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0017z:,,RET Sprint 2,,,,,,,,Done
Verify that Date Start Field with invalid date format.,RET-103,10200,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:36 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date Start"".
5. It's value should be before ""Date End"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0017r:,,RET Sprint 2,,,,,,,,Done
Verify the Date Start Field's Type.,RET-102,10199,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:36 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date Start"".
5. It's value should be before ""Date End"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0017j:,,RET Sprint 2,,,,,,,,Done
Verify that the Menu is accessible from the Coupon Section.,RET-101,10198,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,18/Feb/22 11:23 AM,18/Feb/22 3:44 PM,,0,It should be accessible.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000oq:r,,RET Sprint 2,,,,,,,,Done
Verify the Pagination that it's written Total number of records and pages.,RET-100,10197,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should have a list of  Records.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0017b:,,RET Sprint 2,,,,,,,,Done
Verify the Pagination when the Coupon Records are more than 25.,RET-99,10196,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should have a list of  Records.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00173:,,RET Sprint 2,,,,,,,,Done
"Verify the Page Crumb ""Home"".",RET-98,10195,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should navigate to the Dashboard Section.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0016v:,,RET Sprint 2,,,,,,,,Done
"Verify the Page Crumb ""Coupon"".",RET-97,10194,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should navigate to the Coupon Section.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0016n:,,RET Sprint 2,,,,,,,,Done
Verify the Go Back Button.,RET-96,10193,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should navigate to the Coupon Section.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0016f:,,RET Sprint 2,,,,,,,,Done
Verify the Save Button.,RET-95,10192,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It Should Save the Coupon.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00167:,,RET Sprint 2,,,,,,,,Done
Verify Status Field's type.,RET-94,10191,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:44 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain ""Enabled"" and ""Disabled"" as Options.
3. Only One Option Should Select.
4. It should be ""Enabled"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0015z:,,RET Sprint 2,,,,,,,,Done
Verify the Status Field with more than one Option.,RET-93,10190,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain ""Enabled"" and ""Disabled"" as Options.
3. Only One Option Should Select.
4. It should be ""Enabled"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0015r:,,RET Sprint 2,,,,,,,,Done
Verify that the Status Field's all options can be accessible.,RET-92,10189,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain ""Enabled"" and ""Disabled"" as Options.
3. Only One Option Should Select.
4. It should be ""Enabled"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0015j:,,RET Sprint 2,,,,,,,,Done
Verify the Status Field has all the value as per SRS.,RET-91,10188,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain ""Enabled"" and ""Disabled"" as Options.
3. Only One Option Should Select.
4. It should be ""Enabled"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0015b:,,RET Sprint 2,,,,,,,,Done
Verify the Status Field's Placeholder.,RET-90,10187,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain ""Enabled"" and ""Disabled"" as Options.
3. Only One Option Should Select.
4. It should be ""Enabled"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00153:,,RET Sprint 2,,,,,,,,Done
Verify the Uses Per Customer Field's Default Value.,RET-89,10186,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0014v:,,RET Sprint 2,,,,,,,,Done
Verify the Uses Per Customer Field with more than 1  Digits.,RET-88,10185,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0014n:,,RET Sprint 2,,,,,,,,Done
Verify the Uses Per Customer Field with AlphaNumeric Character.,RET-87,10184,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0014f:,,RET Sprint 2,,,,,,,,In Progress
Verify the Uses Per Customer Field with Alphabetic Character.,RET-86,10183,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00147:,,RET Sprint 2,,,,,,,,In Progress
Verify the Uses Per Customer Field with Special Character.,RET-85,10182,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,18/Feb/22 3:31 PM,,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0013z:,,RET Sprint 2,,,,,,,,In Progress
Verify the Uses Per Coupon Field's Default Value.,RET-84,10181,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0013r:,,RET Sprint 2,,,,,,,,Done
Verify the Uses Per Coupon Field with more than 5 Digits.,RET-83,10180,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0013j:,,RET Sprint 2,,,,,,,,Done
Verify the Uses Per Coupon Field with AlphaNumeric Character.,RET-82,10179,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,18/Feb/22 12:50 PM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-  

1. It can be Between 1 and 8 Characters. 

2. Only Numeric Value allowed. 

3. Any rejected character will fill the field with “0“.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0013b:,,RET Sprint 2,,,,,,,,Done
Verify the Uses Per Coupon Field with Alphabetic Character.,RET-81,10178,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00133:,,RET Sprint 2,,,,,,,,In Progress
Verify the Uses Per Coupon Field with Special Character.,RET-80,10177,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It can be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. Blank Value is denoted as Unlimited.
5. White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0012v:,,RET Sprint 2,,,,,,,,In Progress
Verify the Date End Field with a value earlier than Date Start.,RET-79,10176,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,18/Feb/22 12:59 PM,,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4."" Date Start"" should be before than ""Date End"".
5. ""Date End"" It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0012n:,,RET Sprint 2,,,,,,,,In Progress
Verify the Date Start Field with a value later than Date End.,RET-78,10175,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4."" Date Start"" should be before than ""Date End"".
5. ""Date End"" It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0012f:,,RET Sprint 2,,,,,,,,In Progress
Verify that Date Start value is earlier than Date End.,RET-77,10174,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4."" Date Start"" should be before than ""Date End"".
5. ""Date End"" It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00127:,,RET Sprint 2,,,,,,,,Done
Verify the Date End Field has a calender beside it.,RET-76,10173,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0011z:,,RET Sprint 2,,,,,,,,Done
Verify that Date End Field with invalid date format.,RET-75,10172,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0011r:,,RET Sprint 2,,,,,,,,Done
Verify the Date End Field's Type.,RET-74,10171,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0011j:,,RET Sprint 2,,,,,,,,Done
